# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 19 16:49:47 2019
#
# User preference: *
#
# CONSTRAINT:  where (pl_letter like '%b%'
# CONSTRAINT:  and pl_pnum = 1
# CONSTRAINT:  and st_diststr < 50)
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_orblper:     Long. of Periastron [deg]
# COLUMN pl_facility:    Discovery Facility
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_orblper,pl_facility
Proxima Cen,b,Proxima Cen b,Radial Velocity,0,1,11.18600000,0.048500,0.350000,,0.00400,Msini,,,0,0,0,0,14h29m42.95s,217.428955,-62d40m46.1s,-62.679485,1.29,,11.110,V (Johnson),,3050.00,0.12,0.14,2016-08-25,310.0000,European Southern Observatory
GJ 411,b,GJ 411 b,Radial Velocity,0,1,12.95320000,0.078500,0.220000,,0.00941,Msini,,,0,0,0,2,11h03m20.19s,165.834137,+35d58m11.6s,35.969879,2.55,,7.490,V (Johnson),,3563.00,0.39,0.39,2019-03-05,,Haute-Provence Observatory
eps Eri,b,eps Eri b,Radial Velocity,0,1,2502.00000000,3.390000,0.702000,30.100,1.55000,Mass,,,0,0,0,0,03h32m55.84s,53.232685,-09d27m29.7s,-9.458262,3.21,3.20,3.820,V (Johnson),3.369,,0.83,,2015-09-03,47.0000,Multiple Observatories
Ross 128,b,Ross 128 b,Radial Velocity,0,1,9.86580000,0.049600,0.116000,,0.00440,Msini,,,0,0,1,1,11h47m44.40s,176.934982,+00d48m16.4s,0.804563,3.38,3.37,11.150,V (Johnson),9.591,3192.00,0.17,0.20,2017-11-17,,La Silla Observatory
GJ 674,b,GJ 674 b,Radial Velocity,0,1,4.69380000,0.039000,0.200000,,0.03500,Msini,,,0,0,0,0,17h28m39.95s,262.166443,-46d53m42.7s,-46.895191,4.55,4.55,9.370,V (Johnson),8.331,3600.00,0.35,,2014-05-14,143.0000,La Silla Observatory
GJ 687,b,GJ 687 b,Radial Velocity,0,1,38.14000000,0.170000,0.040000,,0.06000,Msini,,,0,0,0,0,17h36m25.90s,264.107910,+68d20m20.9s,68.339142,4.55,4.55,9.150,V (Johnson),8.028,3340.00,0.45,0.43,2018-09-06,,Lick Observatory
HD 26965,b,HD 26965 b,Radial Velocity,0,1,42.37800000,,0.040000,,0.02665,Msini,,,0,0,0,0,04h15m16.32s,63.818001,-07d39m10.3s,-7.652871,5.04,5.04,4.430,V (Johnson),4.107,5072.00,0.78,0.87,2018-08-09,148.9690,Multiple Observatories
HD 180617,b,HD 180617 b,Radial Velocity,0,1,105.90000000,0.335700,0.160000,,0.03839,Msini,,,0,0,0,0,19h16m55.25s,289.230225,+05d10m08.1s,5.168904,5.91,5.91,9.120,V (Johnson),8.098,3557.00,0.45,0.45,2019-06-13,269.0000,Calar Alto Observatory
GJ 625,b,GJ 625 b,Radial Velocity,0,1,14.62800000,0.078361,0.130000,,0.00887,Msini,,,0,0,0,0,16h25m24.62s,246.352600,+54d18m14.8s,54.304104,6.49,6.47,10.100,V (Johnson),9.137,3499.00,0.30,0.31,2017-09-28,343.1000,Multiple Observatories
Fomalhaut,b,Fomalhaut b,Imaging,0,1,555530.00000000,160.000000,0.870000,55.000,,,,,0,0,0,2,22h57m39.05s,344.412689,-29d37m20.1s,-29.622236,7.70,,1.160,V (Johnson),,,1.92,,2015-11-19,-148.0000,Hubble Space Telescope
